Official Symbol Interactor A	Official Symbol Interactor B
ABL1	ZDHHC16
SELL	PODXL
IFNG	IFNG
IFNG	IFNGR1
PPARGC1B	HNF4A
PPARGC1B	THRB
PPARGC1B	PPARA
PPARGC1A	HCFC1
PLD1	RHOA
PLD1	RHOA
TAF1	TAF2
PAX3	MSX1
FGF1	FGF1
TEK	ANGPT1
EGFR	GRB2
EGFR	PRKAR1A
EGFR	PRKACA
GRB2	PRKAR1A
GRB2	PRKAR1A
AHR	AIP
SLC5A1	HSPA1A
SMAD3	SMAD2
SMAD3	SMAD4
SMAD2	SMAD4
ERBB3	PA2G4
ERBB3	PA2G4
APAF1	CASP9
APAF1	CASP4
APAF1	CASP8
ABL1	SPTA1
ABL1	SPTAN1
ABL1	SPTA1
ABL1	SPTAN1
BCL2L1	CASP9
BCL2L1	APAF1
C3	CFHR5
OPRK1	SLC9A3R1
PLD1	PKN1
PKN1	PLD1
ASAP2	PXN
SNTB2	MAST2
SNTB2	MAST1
NPHP1	NPHP4
EGFR	PLD2
IL22	IL22RA2
PICK1	ACCN2
PICK1	BNC1
PICK1	BNC1
PICK1	ACCN2
ERCC1	ERCC4
SRC	RAF1
SRC	RAF1
FYN	RAF1
FYN	RAF1
EIF2AK2	ILF3
PLAT	F2
NOTCH2	RBPJ
AKAP5	PRKAR2B
MAP3K3	GAB1
MAP3K3	GAB1
BAX	SH3GLB1
SH3GLB1	BAX
PKN1	VIM
PKN1	VIM
BANF1	BANF1
CDH5	CTNND1
ABCA4	CNGB1
CASP10	RYBP
RYBP	CASP10
RYBP	FADD
SPTAN1	NEFL
GRB2	DCTN1
GRB2	DCTN1
BTAF1	TBP
TBP	BTAF1
CCNT2	RB1
RB1	CCNT2
RB1	CDK9
CDK9	RB1
PIN1	TP53
PIN1	TP53
KCNJ6	KCNJ9
GOLGA2	GORASP1
SH3BP5	BTK
SH3BP5	BTK
DR1	DRAP1
DRAP1	DR1
POU4F1	ESR1
POU4F2	ESR1
POU4F1	ESR1
POU4F2	ESR1
INSR	CAV1
NR3C1	YWHAH
NR3C1	YWHAH
CNTF	CNTF
NR1H2	RXRA
NR1H4	RXRA
RXRA	NR1H4
RXRA	NR1H2
NFKBIB	RXRA
NFKBIB	RXRA
IGF2R	PLIN3
IGF2R	PLIN3
M6PR	PLIN3
M6PR	PLIN3
JAK2	SOCS1
SOCS1	JAK2
SOCS1	JAK2
SRC	KHDRBS1
NCF1	KHDRBS1
ZFYVE9	SMAD2
ZFYVE9	SMAD3
ZFYVE9	SMAD2
ZFYVE9	SMAD3
NOL3	SRSF9
SRSF9	NOL3
NOL3	SRSF9
DLX2	MSX1
DLX5	MSX1
MSX1	MSX1
MSX2	MSX1
SERTAD3	RPA2
DLX2	MSX2
DLX5	MSX2
RPA2	SERTAD3
MSX1	MSX2
MSX2	MSX2
RPA2	SERTAD3
DLX2	DLX2
DLX5	DLX2
MSX1	DLX2
MSX2	DLX2
DLX2	DLX5
STX1A	SNAP25
DLX5	DLX5
MSX1	DLX5
STX1A	SNAP25
MSX2	DLX5
DLX2	HOXC8
DLX5	HOXC8
MSX1	HOXC8
MSX1	TBP
MSX1	MSX1
MSX1	MSX2
MSX1	DLX2
ARTN	GFRA3
PIM1	SNX6
SNX6	PIM1
PIM1	SNX6
VHL	FN1
HLA-DRA	MBP
ZAP70	SHC1
ZAP70	SHC1
PLCG1	PTK2
RASA1	DOK1
NBR1	CIB1
NBR1	FEZ1
FEZ1	NBR1
PXN	VCL
PXN	PTK2
SP1	KLF4
PXN	NCK1
ABCG5	ABCG8
TAP1	HLA-G
TAP2	HLA-G
ZFP36	YWHAH
YWHAH	ZFP36
YWHAB	ZFP36
SNAPC2	TBP
APH1A	PSEN1
APH1A	PSEN2
APH1A	NCSTN
NCSTN	APH1A
NCSTN	PSEN1
NCSTN	PSEN2
SF3B1	PPP1R8
SF3B1	PPP1R8
PPP1R8	SF3B1
NOLC1	POLR1A
CRKL	BLNK
SLC9A3R1	SLC4A8
IDE	IGF1
IDE	IGF2
MYO5A	RAB27A
AKAP3	PRKAR2A
AMPH	BIN1
AMPH	DNM1
LRP2	GIPC1
LRP2	LRPAP1
MPL	SOCS1
PTK2B	BCAR1
REXO4	ESR1
REXO4	ESR2
CD36	MATK
ARNT	SIM1
ARNT	SIM2
ARNT	HIF1A
TRAF2	FLNA
LBP	CFHR1
LBP	APOA1
MAP2K4	MAP2K7
BAG1	AR
KLRD1	HLA-E
STAT3	ELP2
ELP2	STAT1
ELP2	STAT3
ELP2	STAT5B
ELP2	STAT3
ELP2	JAK1
ELP2	JAK2
ELP2	TYK2
ELP2	JAK1
SHC1	RET
SHC1	NTRK1
GRB2	RET
PKN3	ARHGAP10
PKN3	ARHGAP26
ARHGAP26	RHOA
ARHGAP26	CDC42
ARHGAP10	RHOA
ARHGAP10	CDC42
PKN3	ARHGAP26
PKN3	ARHGAP10
PKN3	ARHGAP26
PKN3	ARHGAP10
RHOA	KCNA2
RHOA	KCNA2
RHOA	KCNA2
ATF2	UTF1
UTF1	ATF2
CRK	GRB2
ERCC6	XPA
POLL	PCNA
TEAD1	MAX
TEAD1	MAX
PINX1	TERF1
TERF1	PINX1
PINX1	TERT
PINX1	TERT
CDH5	PKP4
AR	NCOA4
NCOA4	AR
NCK1	LCP2
ALOX5	TGFBRAP1
ALOX5	COTL1P1
RAC1	SYNJ2
SYNJ2	RAC1
RAC1	SYNJ2
RAF1	YWHAZ
RAF1	YWHAZ
CD151	PTGFRN
CD81	PTGFRN
CD9	PTGFRN
CD63	PTGFRN
PTGFRN	CD82
TLX2	YWHAH
YWHAH	TLX2
MCM3	MCM3AP
RB1	RAF1
RBL2	RAF1
RAF1	RB1
RAF1	RBL2
RAF1	RB1
RAF1	RBL2
MAGEA1	HLA-A
SRC	SKAP1
LYN	SKAP1
FYN	SKAP1
LCK	SKAP1
MAP3K5	YWHAZ
ARL2	ARL2BP
NPPA	EPB41
CNTNAP2	EPB41L3
GRIN2A	DLG4
MIF	COPS5
MIF	COPS5
BRCA2	FLNA
CUBN	GIF
SYNC	DES
SYNC	DES
MSH2	MSH3
MSH2	MSH6
COPA	ARFGAP1
DHX9	AKAP8L
DHX9	AKAP8L
NGFR	NGFRAP1
NGFR	NGFRAP1
ARRB1	CSK
PLG	CHGA
NFYB	MYC
NFYB	MYC
PDK1	PKN2
PDK1	PKN1
RELA	RXRA
NFKB1	RXRA
XPO1	ELAVL1
ANP32A	XPO1
TNFSF13	XPO1
FAS	UBE2I
PML	DAXX
MYB	CEBPE
RELA	SP1
SP1	RELA
SP1	NFKB1
SP1	NFKB2
SP1	REL
DPEP1	DPEP1
KCNJ4	LIN7B
LIN7B	KCNJ4
IL8	IL8
MAP3K1	DVL2
AXIN1	MAP3K1
AXIN1	DVL2
MAP3K1	AXIN1
CRY1	PER2
PER2	CRY1
HAP1	HTT
HAP1	HTT
HAP1	DCTN1
HAP1	HTT
HAP1	DCTN1
MAPT	SNCA
SNCA	MAPT
NOS2	SLC9A3R1
TNFRSF1A	DAPK1
KRIT1	DAPK1
FADD	CASP8
FADD	TRADD
FADD	DAPK1
YWHAQ	DAPK1
PHF17	VHL
VHL	VBP1
PER2	CRY2
NKX2-1	PTRF
PTRF	TFF1
PACSIN3	DNM1
PACSIN3	SYNJ1
PACSIN3	WASL
PACSIN2	DNM1
PACSIN2	SYNJ1
PACSIN2	WASL
PACSIN1	DNM1
PACSIN1	SYNJ1
PACSIN1	WASL
PACSIN1	PACSIN2
PACSIN1	PACSIN1
PACSIN1	PACSIN2
PACSIN1	PACSIN3
PACSIN2	PACSIN1
PACSIN2	PACSIN2
PACSIN2	PACSIN3
PACSIN3	PACSIN1
PACSIN3	PACSIN2
PACSIN3	PACSIN3
PACSIN2	PACSIN1
PACSIN2	PACSIN2
PACSIN3	PACSIN1
PACSIN3	PACSIN3
SOS1	GRB2
SHANK1	Sharpin
Sharpin	Sharpin
SHANK1	Sharpin
MECOM	SMAD3
MECOM	SMAD3
GOLGA4	ARL3
GOLGA4	ARL1
ARL3	ARL2BP
ARL3	UNC119
AP2M1	CTLA4
XPC	CETN2
XPC	RAD23B
CETN2	XPC
RANBP10	RAN
RANBP10	MET
RANBP10	MET
RANBP10	RAN
COL7A1	LAMA5
COL7A1	LAMA5
BHMT	BHMT
FLT4	ITGB1
XPO1	NXT1
MKI67	CBX3
MKI67	CBX3
PRPF40A	WBP5
PRPF40A	FMNL3
PRPF40A	MECP2
PRPF40A	ZFHX3
VAMP4	STX6
VAMP4	STX16
VAMP4	VTI1A
VAMP4	VTI1B
VAMP3	STX6
VAMP3	VTI1A
STX16	VAMP3
STX16	VAMP4
STX6	VAMP3
STX6	VAMP4
STX6	VAMP8
TP53	TFDP1
TP53	TFDP1
PPBP	PPBP
COL17A1	DST
COL17A1	DST
CD9	ITGB1
CD63	ITGB1
CD81	ITGB1
CD151	ITGB1
IKBKB	TNFRSF1A
CHUK	CHUK
TNFRSF1A	IKBKG
IKBKG	TNFAIP3
TNFAIP3	IKBKG
TP53	NFKBIA
TP53	NFKBIA
SP1	PURA
TOP2A	TOP2B
SMC4	SMC2
SMC3	SMC1A
A1CF	SYNCRIP
A1CF	SYNCRIP
A1CF	SYNCRIP
A1CF	APOBEC1
A1CF	APOBEC1
TJAP1	DLG1
TJAP1	DLG1
NCL	TOP1
NCL	TOP1
SYK	SYK
NTRK1	SHC1
NTRK1	ARHGAP32
ARHGAP32	NTRK1
ARHGAP32	NTRK1
ARHGAP32	CRKL
ARHGAP32	CRKL
ARHGAP32	BCAR1
ARHGAP32	AKT1
ARHGAP32	CDC42
ARHGAP32	RHOA
ARHGAP32	SHC2
ARHGAP32	NF2
ARHGAP32	SHC3
SHC3	ARHGAP32
PRKCE	MYH9
PRKCE	COPB2
PRKCE	KRT1
PRKCE	ACTA1
PRKCE	COPB2
PRKCE	KRT1
PRKCE	MYH9
PRKCE	ACTA1
FCGR2A	LYN
FCGR2A	SYK
FCGR2A	PIK3R1
LYN	CSF2RB
LCK	PIK3CA
LCK	PI4KA
ABCB7	FECH
ABCB7	FECH
CD180	LY86
MAPK14	MEF2A
IL12RB1	IL23R
IL23A	IL23R
IL23A	IL12RB1
RB1	E2F1
RB1	E2F4
RB1	E4F1
E4F1	RB1
E4F1	RB1
PLDN	STX12
PLDN	STX12
PTPN7	MAPK3
NR3C1	NCL
KPNA3	RCC1
PTBP1	PTBP1
PTBP1	HNRNPL
SYTL4	RAB8A
SYTL4	RAB27A
SYTL4	RAB8A
SYTL4	RAB27A
ARHGEF11	PLXNB2
ARHGEF12	PLXNB2
PIAS2	AR
CASP8	NR1H4
CCL3L1	CCR5
MBIP	MAP3K12
MBIP	MAP3K12
F2	CPB2
F2	THBD
NR6A1	UIMC1
TNNC1	TNNI3
NCAPD2	SMC4
NCAPD2	SMC2
RHOG	MAP3K11
RHOG	IQGAP2
CTNNA1	CTNNB1
PXN	PABPC1
KPNB1	NUP153
ATP6V1H	ATP6V1E1
NPDC1	E2F1
NPDC1	TFDP1
NPDC1	CCND1
NPDC1	CCND2
NPDC1	CCND3
NPDC1	CDK2
NPDC1	E2F1
CBL	UBE2L3
FOXH1	SMAD3
FOXH1	SMAD2
C1QA	DCN
GAB2	ZAP70
GAB2	CD247
GAB2	LAT
FLNA	RALA
FLNA	RALA
PSEN2	SRI
IL13RA1	TYK2
KHDRBS1	KHDRBS1
DLG4	PTPRG
RAF1	PRKG1
NR2F1	SP1
SEMA4C	DLG4
SEMA4C	DLG3
SEMA4C	DLG2
SEMA4C	DLG4
SEMA4C	DLG4
CD2	CD5
POU3F1	HMGA1
VAMP1	VAPB
VAMP2	VAPB
VAPA	VAPB
GNB2L1	PTPRM
GNB2L1	PTPRM
TLR4	LY96
PTPRC	LCK
BUB1B	CENPE
SMAD3	MEN1
KDR	ACP1
CGN	TJP2
CGN	TJP1
PIGK	GPAA1
AP2B1	BUB1B
AP2B1	BUB1B
BUB1B	BUB3
PTPN6	NOS1
BTK	FYN
BTK	LYN
BTK	HCK
NCOA3	CCND1
NCOA1	CCND1
NCOA1	CCND1
COPA	PDGFRB
C8A	C8G
PTPN22	GRB2
PKD1	KRT18
NLK	LEF1
NLK	CTNNB1
NLK	TCF7L2
IGF2R	PLIN3
SDC4	GIPC1
TOP1	SRSF1
APBA2	APP
APBA2	APP
FHL3	FHL2
FHL3	FHL2
NEDD9	BCAR1
NEDD9	NEDD9
ID2	NEDD9
ID2	BCAR1
NEDD9	NEDD9
NEDD9	ID2
NEDD9	ELSPBP1
TGFBR2	TGFBR3
TGFBR3	TGFB1
RAC1	NCKAP1
RAC1	NCKAP1
IRF2	BRD7
IRF2	BRD7
GAB2	PTPN6
PLG	HMGB1
NEDD8	NUB1
NUB1	PSMD4
GABARAP	GABARAP
PSMD4	NEDD8
NR2C1	ESR1
NR2C1	ESR1
CSTB	CTSH
CSTB	CTSB
PTPN11	IRS1
SOCS1	TCEB1
SOCS1	TCEB3
A2M	NGF
POU2F1	POU2F1
CLU	C8B
CLU	C7
CLU	C9
TOMM22	TOMM20
GTF2I	PRKG1
PRKG1	GTF2I
KPNB1	RUNX1T1
KPNA1	RUNX1T1
CALR	APOB
EGR1	PITX1
MAPKAPK5	HSPB1
MAPKAPK5	HSPB2
MAPK1	GATA4
ITM2B	BCL2
SLC2A1	PTK2B
STX5	NSFL1C
STX5	NAPA
CDH1	CDH1
KNTC1	ZW10
TPSAB1	TPSAB1
TEK	ANGPT4
TIE1	ANGPT4
FYN	TUBA3C
FYN	MAPT
FYN	TUBA3C
FYN	MAPT
PRB3	ALB
RIPK4	PRKCB
PRKCB	RIPK4
NCOR1	RARA
SMAD3	NFYC
SMAD2	NFYC
NCOR1	RARA
NCOR1	ZBTB16
XIAP	CASP3
XIAP	CASP4
NEK2	NEK2
NEK2	NEK2
NEK2	NEK2
JAK1	IL21R
GALNT14	MUC2
GALNT14	MUC7
GALNT14	MUC13
GALNT14	MUC5AC
TXN	TXNIP
TXN	TXNIP
AR	NR0B1
MAP3K10	DNM1
GOLGA3	GOLGA3
RAN	NUTF2
L1CAM	NCAN
IRAK1	TRAF6
COL17A1	ACTN4
COL17A1	ACTN1
COL17A1	ACTN4
COL17A1	ACTN1
SH2B3	LCK
JAK1	GRB2
NCOA1	AR
NCOA1	AR
CD3D	CD8A
CD3D	CD8A
BMF	BCL2
BMF	BCL2L2
BCL2	BMF
DYNLL2	BMF
BMF	MYO5A
MYO5A	DYNLL2
TBP	GTF2A1
TBP	GTF2A2
KPNB1	NUP62
KPNB1	NUP54
KPNB1	NUP153
KPNB1	RANBP2
SOX9	NR5A1
NR5A1	SOX9
CSTA	PI3
CSTA	KRT1
CSTA	LOR
CSTA	DSP
CSTA	IVL
DSP	IVL
PI3	KRT1
PI3	LOR
IVL	IVL
IVL	LOR
IVL	KRT1
KRT1	LOR
LOR	LOR
IGF1R	CSK
RPGRIP1	RPGR
RPGR	RPGRIP1
GTF2I	BTK
SUDS3	SIN3A
SUDS3	SIN3B
SUDS3	SIN3A
SUDS3	SIN3B
SUDS3	SIN3A
SUDS3	SIN3B
SUDS3	SUDS3
SUDS3	SUDS3
SUDS3	HDAC1
TRIP10	ARHGAP17
ARHGAP17	SRC
ARHGAP17	CRK
ARHGAP17	GRB2
ARHGAP17	PIK3R1
ARHGAP17	LCK
ARHGAP17	FNBP1
ARHGAP17	TRIP10
ARHGAP17	PACSIN1
ARHGAP17	CTTN
ARHGAP17	SH3GLB1
ARHGAP17	BTK
ARHGAP17	ABL1
TRIP10	ARHGAP17
ARHGAP17	RAC1
ARHGAP17	CDC42
RICH2	CDC42
RICH2	RAC1
PRKAR2A	PDE4A
AKAP6	PDE4A
PDE4A	AKAP6
PDE4A	PRKAR2A
PDE4D	AKAP6
IGF1R	PTK2
IGF1R	IRS1
IGF1R	PXN
IGF1R	PTPN11
PTK2	PTPN11
TP53	E4F1
E4F1	TP53
TP53	E4F1
FMR1	CYFIP1
CYFIP1	FMR1
CYFIP1	FXR1
CYFIP1	FXR2
CYFIP1	NCL
FMR1	CYFIP1
FMR1	CYFIP2
FXR2	CYFIP1
STIP1	HSPA4
STIP1	HSP90AA1
STAT1	IRF1
STAT1	IRF1
ACVR2A	BMP6
ACVR2B	BMP6
BMPR2	BMP6
BMPR1A	BMP6
MAGI3	BAI1
MAGI3	PTEN
MAGI3	PTEN
PTEN	MAGI3
CDK4	CDC37
CDC37	CDK4
TMF1	AR
AR	TMF1
AR	TMF1
HTR2C	DLG4
HTR2C	LIN7C
HTR2C	APBA1
BAX	SLC25A4
SLC25A4	BAX
PRKCD	PTK2B
CRK	DOCK1
CRK	GRB2
LTF	LYZ
B4GALNT1	B4GALNT1
TNFRSF10A	DAP3
TNFRSF25	DAP3
DAP3	FADD
TNFRSF10A	DAP3
FADD	DAP3
CD44	VAV2
GRB2	VAV2
GRB2	ERBB2
GDI1	RAB9A
YWHAZ	GP1BA
GP1BA	YWHAZ
RAC1	DOCK1
STAT1	SRC
BCL2	BNIPL
BCL2L1	BNIPL
PTPN11	KIT
HIP1	HIP1R
HIP1	HIP1R
OPRL1	PNOC
EGFR	ARF4
EGFR	ARF4
POU2F2	HMGB2
HMGB2	POU2F2
CD247	TRAT1
NET1	MAGI1
ARF1	ARF1
SMN1	HNRNPR
TOR1A	SNCA
DAB2	DAB2IP
DAB2	DAB2IP
MAP4K1	GRB2
MAP4K1	NCK1
GRB2	MAP4K1
MAP4K1	GRB2
MAP4K1	EGFR
RAPGEF4	RIMS2
EPOR	GNAI1
TERT	PTGES3
TRAF2	CHUK
TRAF2	IKBKB
COPB1	ARCN1
ARCN1	COPB1
COPZ1	COPG
COPA	COPE
ARCN1	COPB1
TAX1BP1	TNFAIP3
PTPRC	CD8A
PTPRC	CD4
IL10	IL10RA
ERC1	RAB6A
ERC1	RAB6B
RAB6A	ERC1
FYN	VAV1
CDH1	ARPC2
TAF1	GTF2F1
TAF1	RB1
TAF1	TBP
SDC1	HGF
AHR	TBP
AHR	GTF2F2
AHR	GTF2F1
ARNT	GTF2F1
ARNT	GTF2F2
CALM1	SNCA
RB1	ENC1
RB1	ENC1
FYN	NTRK2
NTRK2	FYN
EPS15	HGS
HGS	EPS15
EPS15	AP2A2
UBQLN1	PSEN1
UBQLN1	PSEN2
UBQLN1	PSEN1
UBQLN1	PSEN2
ESR1	CEBPB
RCC1	RANBP3
RANBP3	RCC1
RCC1	XPO1
PRKACA	CAV1
VAMP1	STX4
VAMP2	STX4
RAD50	MRE11A
RAD50	NBN
MRE11A	NBN
IKBKG	TANK
IKBKG	TANK
TANK	IKBKG
IKBKG	IKBKB
TANK	CHUK
C1D	TSNAX
C1D	TSNAX
ERBB2IP	LRRC1
LRRC1	DLG4
LRRC1	DLG1
CNTN2	NFYB
CNTN2	NFYB
ADAP1	CSNK1A1
ADAP1	CSNK1A1
BTG1	CNOT7
BTG1	CNOT7
CSF3R	JAK1
PGR	RELA
CTLA4	CD86
FBN1	MFAP2
CDK4	RFC1
KIT	RFC1
CCND1	RFC1
PCNA	RFC1
RB1	RFC1
RAN	RCC1
MATK	PXN
PLG	C7
SP1	KLF10
SP1	SREBF2
SP1	ELF1
SP1	POU2F1
SP1	HCFC1
SP1	POGZ
PTPRF	TRIO
SHB	GRB2
KLK2	SERPINF2
KLK2	SERPINA3
PTPRC	GANAB
MAP3K8	MAP2K1
MAP3K8	MAP2K4
CDH1	PSEN1
PSEN1	CTNNA1
JAK2	VAV1
ATP6AP2	REN
RHOA	KTN1
RAC1	KTN1
CD2	LGALS1
SKP2	CUL1
SKP2	CUL1
SKP1	CUL1
SOX6	CTBP2
CTBP2	SOX6
TJP1	TJP2
OCLN	TJP1
NACA	FOS
NACA	JUN
NACA	JUN
RAB6B	KIF20A
RGS2	GNAI3
RGS5	GNAI3
RGS5	GNAI2
RGS5	GNAO1
RGS16	GNAI3
RGS16	GNAI2
RGS16	GNAO1
NEU1	GALNS
VAMP3	BCAP31
VAMP2	BCAP31
BCAP31	VAMP3
EBI3	CANX
ASCL1	TCF4
ASCL1	TCF4
TIMP1	MMP1
CSF2RB	JAK2
KIT	JAK2
RAF1	JAK2
RAN	XPO1
SNRPN	GAR1
CDK1	SPAG5
RALA	RALBP1
GPR143	GNAI1
GPR143	SUCLG2
GPR143	SUCLG2
GPR143	GNAI1
CHML	RAB1A
CHML	RAB5A
CALR	TAPBP
ARHGEF4	APC
ARHGEF4	APC
ARHGEF4	RHOA
ARHGEF4	RAC1
BTRC	JUP
PDE4D	GNB2L1
GNB2L1	PDE4D
GNB2L1	PDE4D
EIF4EBP1	EIF4E
RHEB	RAF1
RHEB	RAF1
GRB2	PTPRA
GRB2	PTPRA
HOXB8	PBX3
HOXB8	PBX1
VDR	VDR
SLC26A3	SLC9A3R2
SYTL4	STX1A
STX1A	SYTL4
RAB27A	SYTL4
PPP2R4	STRN3
GRK1	RCVRN
MED21	MED6
MED21	MED14
MED6	MED14
MED6	MED21
TP53	ZNF148
ZNF148	TP53
BEST1	PPP2CA
BEST1	PPP2CA
EPHA3	EFNB2
TGFBR2	TGFB1
TGFBR2	TGFB2
TGFBR2	TGFB3
HSF1	CEBPB
HSF1	CEBPB
ISL1	ISL1
ISL1	LMX1A
LMX1A	LMX1A
LHX1	LHX3
LMX1A	LHX3
ISL1	LHX3
ISL2	LHX3
ISL2	ISL1
LMO2	ISL1
LMX1A	LHX3
MITF	FOS
SPI1	MITF
BCL2	CDK1
GIT1	PTPRZ1
NCF1	NCF4
DLG4	CACNG2
LYN	PRKDC
VCAM1	MSN
VCAM1	EZR
VCAM1	EZR
VCAM1	MSN
JAK2	SH2B1
SH2B1	JAK2
SH2B1	JAK2
RALBP1	REPS2
REPS2	RALBP1
RALA	RALBP1
GRB2	REPS2
AR	SRY
AR	SRY
AKAP1	PRKAR1A
AKAP1	PRKAR2A
ABI2	ABL1
ABI2	ABL1
FKBP5	PGR
TRPC4	ITPR2
TRPC4	ITPR3
TRPC4	ITPR1
ABL1	EVL
SRC	EVL
LYN	EVL
APBB1	EVL
PFN2	EVL
EXOSC5	EXOSC1
EXOSC7	EXOSC1
EXOSC1	EXOSC5
EXOSC1	EXOSC7
GSTA1	GSTA1
HSPA1A	MAP3K5
MAP3K5	HSPA1A
LMBR1L	LCN1
DCC	MAPK3
MAPK1	IER3
MAPK3	IER3
STX1A	STXBP5
NCK2	EGFR
NCK2	PDGFRB
NCK2	DOK1
HNF1B	CREB1
HNF1B	ATF1
LYN	PPP1R15A
LYN	PPP1R15A
LYN	PPP1R15A
TRAF2	IL15RA
SRI	SRI
CNOT8	BTG1
CNOT8	BTG2
BTG1	CNOT8
BTG2	CNOT8
BTG1	CNOT7
CNOT7	BTG2
ITPR1	FKBP1A
GRB2	OCRL
ADAM9	PRKCD
MCAM	FYN
NFE2L3	MAFK
PRKDC	ILF3
PRKDC	ILF2
PRKDC	EIF2S2
ILF2	PRKDC
ILF3	PRKDC
LTBR	TRAF3
KLC1	APP
RABAC1	VAMP2
RABAC1	RAB1A
RABAC1	RAB3A
RABAC1	VAMP2
RAB13	PDE6D
CD34	CRKL
CD34	CRKL
SEC24C	SEC23A
SEC24B	SEC23A
SEC24C	SEC23A
MAP4K1	MAP3K7
FBLN2	FBN1
CBX5	TRIM28
TRIM28	CBX5
AES	HNF1A
AES	AES
TLE4	HDAC1
TLN1	ITGB3
PRKCQ	AKT1
PRKCQ	AKT1
CAMK2G	SMAD2
CAMK2G	SMAD4
SMAD4	SMAD2
CDK5	CCND2
G6PD	G6PD
ZBTB16	ZBTB16
CRK	RET
SYT2	SYNCRIP
SYT7	SYNCRIP
SYT8	SYNCRIP
SYT9	SYNCRIP
SYNCRIP	SYT7
SYNCRIP	SYT8
SYNCRIP	SYT9
SYT1	SYNCRIP
SYT3	SYNCRIP
SYT4	SYNCRIP
CHUK	MAP3K14
MAP3K14	MAP3K14
NF2	PXN
SMAD2	SMAD4
FYN	SLAMF1
FYN	SH2D1A
BLK	CD79A
BLK	CD79B
NXF1	DHX9
DHX9	NXF1
BIRC2	TRAF2
BIRC3	TRAF2
SLC12A3	PDIA3
TRIM24	NR3C2
KCNB1	SNAP25
IL17RB	IL17B
CFTR	SNAP23
CFTR	STX1A
CFTR	SNAP23
PPFIA4	NCOA2
PPFIA4	NCOA2
PPFIA1	NCOA2
YWHAB	IGF1R
PIGK	GPAA1
GPAA1	PIGK
GPAA1	PIGS
GPAA1	PIGT
MYB	MAF
ETS1	MAF
MYB	MAF
THBS1	PLG
RAB27B	SYTL4
RAB27B	SYTL4
HRAS	RAF1
HRAS	MAP2K1
POLB	XRCC1
POLB	XRCC1
CASK	SDC1
CASK	SDC2
CASK	EPB41
CSF2	SDC2
SDC2	CSF2RA
PFN1	RHOQ
DVL1	AXIN1
FRAT1	DVL1
ARAF	PIK3R1
ERCC3	GTF2H1
ERCC3	GTF2H2
ERCC3	GTF2H3
ERCC3	GTF2H4
ERCC3	ERCC2
CAMK2A	GRIN2B
HGS	STAM
HNRNPK	CSK
CSK	HNRNPK
MYC	SMAD2
MYC	SMAD3
MYC	SMAD2
MYC	SMAD3
MYC	SMAD2
MYC	SMAD3
LRRC7	CTNND2
LRRC7	CDH2
LRRC7	CTNND2
LRRC7	CDH2
LRRC7	CTNND2
MAPK8	IRS1
MAPK8	IRS1
DYNC2H1	DYNC2LI1
DYNC2LI1	DYNC2H1
MCM3	MCM3AP
MCM3	MCM3AP
FUS	SRSF10
FUS	SRSF10
PLCG1	PRKD1
SYK	PRKD1
PLCG2	PRKD1
MEF2D	NFATC2
MEF2D	NFATC2
SGK3	GSK3B
SGK3	GSK3B
FYN	PECAM1
SRC	PECAM1
LYN	PECAM1
YES1	PECAM1
HCK	PECAM1
KIT	PIK3R1
MAP3K7	MAP3K7
CGA	FSHB
BRCA2	RAD51
TP53	BRCA2
TRA2B	SRSF9
SDC2	SDCBP
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HR	THRA
HDAC1	HR
HDAC2	HR
HDAC3	HR
HDAC5	HR
TNFRSF1A	TRADD
TNFRSF1A	CEP110
ASAP2	PTK2B
PTK2B	ASAP2
ASAP2	SRC
HNRNPK	VAV1
FOS	GTF2E2
FOS	GTF2F2
FOS	GTF2F1
JUN	GTF2E2
JUN	GTF2F2
JUN	GTF2F1
EPS15	DNM2
NCF1	TRAF4
TP53	PPP1R13L
NCOA3	ESRRA
NCOA3	ESRRB
NCOA2	ESRRB
XRCC1	PARP1
XRCC1	PARP1
CSTB	CST3
NOTCH1	NUMB
CD84	SH2D1A
CD84	SH2D1B
ANK1	TTN
ANK1	TTN
XPA	RPA2
SLC9A1	TNIK
BCR	GRB2
ARNT	AHR
ARNT	AHRR
ARNT	AHRR
ARNT	AHR
REPS1	RALBP1
REPS1	RALBP1
LPA	FN1
LPA	FN1
SH3GL1	DNM1
TP53	MED1
RIPK1	TNFRSF1A
THEM4	AKT1
SMC1A	SMC3
SMC1A	RAD21
SMC1A	NUMA1
SMC3	NUMA1
SMC3	TUBB
EYA1	SIX1
EYA1	SIX1
SYK	FCER1G
SYK	MS4A2
BZRAP1	TSPO
BZRAP1	TSPO
TSC1	TSC2
LMNA	SYNE1
PSPH	PSPH
DUSP19	MAP2K7
DUSP19	MAPK9
BTK	CBL
BTRC	SKP1
SKP2	SKP1
CD4	SPG21
CD4	SPG21
NCOA2	NR3C1
NR3C1	NR3C1
RORA	NME1
RORB	NME1
RORA	NME1
RORB	NME1
SNRNP70	SRSF1
SNRNP70	SRSF1
CD40	MS4A1
FOXH1	SMAD2
FOXH1	SMAD2
KCNS3	KCNB1
PDGFRA	GRB2
ILK	ITGB3
F10	F7
HCFC1R1	HCFC1
NR3C1	CREB1
RAD51L1	RAD51C
RAD51L1	RAD51C
RAD51L1	RAD51L3
RAD51L1	XRCC2
