From	To
BMP3	BMPR1B
BMP3	BMPR2
BMP3	ACVR1
BMP3	ACVR2
BMP3	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	ACVR1
BMP4	ACVR2
BMP4	ACVR2B
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP5	ACVR1
BMP5	ACVR2
BMP5	ACVR2B
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP6	ACVR1
BMP6	ACVR2
BMP6	ACVR2B
BMP7	BMPR1A
BMP7	BMPR2
BMP7	ACVR1
BMP7	ACVR2
BMP7	ACVR2B
BMP8	BMPR1A
BMP8	BMPR1B
BMP8	BMPR2
BMP8	ACVR1
BMP8	ACVR2
BMP8	ACVR2B
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ACVR1
BMP10	ACVR2
BMP10	ACVR2B
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP15	ACVR1
BMP15	ACVR2
BMP15	ACVR2B
INHBA	ACVR2
INHBB	ACVR2
INHBC	ACVR2
INHA	ACVR1
INHA	ACVR1B
INHA	ACVR2
INHA	ACVR2B
SCYC1	CCXCR1
SCYC2	CCXCR1
SCYD1	CX3CR1
SCYA11	CCR3
SCYA11	GPR9
SCYA11	CCR5
SCYA11	CCBP2
SCYA24	CCR3
SCYA23	CCR1
SCYA14	CCR1
SCYA14	CCBP2
SCYA26	CCR3
SCYA3	CCR1
SCYA3	CCR5
SCYA4	CCR5
SCYA4	CCR8
SCYA4	CCR1
SCYA4	CCBP2
SCYA15	CCR1
SCYA15	CCR3
SCYA1	CCR8
SCYA21	CCR7
SCYA21	GPR9
SCYA5	CCR1
SCYA5	CCR3
SCYA5	CCR4
SCYA5	CCR5
SCYA5	FY
SCYA5	CCBP2
SCYA2	CCR2
SCYA2	FY
SCYA2	CCR1
SCYA2	CCBP2
SCYA8	CCR2
SCYA8	CCR3
SCYA8	CCR5
SCYA8	CCR1
SCYA8	CCBP2
SCYA27	GPR2
SCYA7	CCR1
SCYA7	CCR2
SCYA7	CCR3
SCYA7	CCR5
SCYA7	CCBP2
SCYA13	CCR2
SCYA13	CCR3
SCYA13	CCR1
SCYA13	CCR5
SCYA13	CCBP2
SCYA17	CCR4
SCYA17	CCR8
SCYA20	CCR6
SCYA19	CCR7
SCYA25	CCR9
SCYA22	CCR4
IL8	IL8RA
IL8	IL8RB
IL8	FY
SCYB6	IL8RA
SCYB6	IL8RB
MIG	GPR9
SDF1	CXCR4
SCYB11	GPR9
SCYB5	IL8RB
SCYB5	IL8RA
SCYB10	GPR9
PPBP	IL8RB
PPBP	FY
GRO1	IL8RB
GRO1	FY
GRO2	IL8RB
GRO3	IL8RB
SCYB13	BLR1
SPP1	CD44
WNT10A	FZD5
WNT10A	FZD7
WNT4	FZD5
WNT4	FZD7
FASL	FAS
AREGB	EGFR
BTC	ERBB2
HBEGF	EGFR
HBEGF	ERBB4
HBEGF	ERBB2
EREG	ERBB2
NRG2	ERBB2
NRG2	ERBB4
NRG3	ERBB4
NRG3	ERBB2
NRG4	ERBB4
NRG4	ERBB2
EGF	ERBB2
TGFA	ERBB2
AREG	ERBB2
AREGB	ERBB2
NRG2	ERBB3
COL27A1	ITGA11
COL27A1	ITGA1
COL27A1	ITGA2
COL27A1	ITGA3
COL27A1	ITGA9
COL27A1	ITGAV
COL27A1	ITGB1
COL27A1	ITGB8
COL27A1	GP6
COL27A1	SDC1
COL27A1	SDC4
COL27A1	ITGA10
COL27A1	CD44
From	To
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE	AGTR2
ACE	BDKRB2
ADAM10	AXL
ADAM10	EPHA3
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ERBB4
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM2	CD9
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	SCTR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	MRGPRX2
ADM	RAMP2
AGRN	ATP1A3
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	AGTR1
AGT	AGTR2
AGT	LRP2
AGT	MAS1
ALB	LRP2
AMELX	LAMP1
AMELY	LAMP1
AMH	EGFR
ANGPT1	ITGA5
ANGPT1	TIE1
ANGPT4	TEK
ANGPTL3	ITGA5
ANGPTL3	ITGB3
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
APOB	LDLR
APOB	LRP2
APOB	LSR
APOB	OLR1
APOD	LEPR
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SORL1
APOE	VLDLR
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	TNFRSF21
AREG	ERBB3
ARF1	CHRM3
ARF1	INSR
ARF1	PLD2
ARTN	GFRA1
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	HLA-F
B2M	LILRB1
BDNF	NGFRAP1
BDNF	SORT1
BGN	TLR2
BGN	TLR4
BMP10	ACVR2A
BMP10	ACVRL1
BMP10	ENG
BMP15	ACVR2A
BMP2	ACVR2A
BMP2	ENG
BMP2	HFE2
BMP6	ACVR2A
BMP7	ENG
BST1	CAV1
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
C1QA	CD93
C1QA	CR1
C1QA	CSPG4
C1QB	LRP1
C1QTNF1	AVPR2
C1QTNF5	MFRP
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CR1
C3	LRP1
C4A	C3AR1
C4A	C5AR2
C4A	CR1
C4BPA	BMPR2
C4BPA	LRP1
C4B	CD46
C4B	CR1
C5	C5AR2
C5orf55	TRAF2
CALCA	CALCRL
CALCA	RAMP1
CALCA	RAMP2
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALR	ITGA2B
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	TSHR
CAMP	FPR2
CCL11	ACKR2
CCL11	ACKR4
CCL11	CCR2
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR1
CCL13	CCR5
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR3
CCL14	CCR5
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	CCR8
CCL17	DARC
CCL18	C14orf1
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR10
CCL19	CCRL2
CCL19	CXCR3
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
CCL21	CXCR3
CCL24	CCR2
CCL25	ACKR2
CCL25	ACKR4
CCL25	CCR10
CCL26	CCR1
CCL26	CCR2
CCL27	ACKR2
CCL28	ACKR2
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL2	DARC
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L3	ACKR2
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR3
CCL3	CCR4
CCL4	ACKR2
CCL4	CCR1
CCL4	CCR3
CCL4	CCR8
CCL5	ACKR2
CCL5	ACKR4
CCL5	CCR4
CCL5	CXCR3
CCL5	DARC
CCL5	GPR75
CCL5	SDC1
CCL5	SDC4
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR10
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL7	DARC
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR5
CCL8	DARC
CD14	ITGA4
CD14	ITGB1
CD24	SELP
CD34	SELL
CD55	CD97
CD55	CR1
CD5L	CD5
CDH1	EGFR
CDH1	IGF1R
CDH1	ITGAE
CDH1	ITGB7
CDH1	PTPRF
CDH1	PTPRM
CEL	CXCR4
CFH	ITGAM
CFH	SELL
CGB	LHCGR
CGN	F11R
CLCF1	CRLF1
CNTF	IL6R
CNTN2	CNTN1
CNTN2	CNTNAP2
CNTN2	NRCAM
CNTN4	PTPRG
COL11A1	DDR1
COL14A1	CD44
COL18A1	GPC1
COL18A1	GPC4
COL18A1	ITGA5
COL18A1	ITGB1
COL18A1	KDR
COL1A1	CD36
COL1A1	CD93
COL1A1	DDR1
COL1A1	DDR2
COL1A1	ITGA5
COL1A1	TMPRSS6
COL1A2	CD36
COL1A2	CD93
COL1A2	ITGA2B
COL1A2	ITGB3
COL2A1	DDR1
COL2A1	ITGA2B
COL2A1	MAG
COL2A1	TNFRSF10A
COL3A1	DDR1
COL3A1	DDR2
COL3A1	MAG
COL4A1	CD93
COL4A2	CD93
COL4A3	CD47
COL4A3	CD93
COL4A4	CD93
COL4A5	CD93
COL4A6	CD93
COL5A1	SDC3
COL5A2	DDR1
COL5A3	SDC3
COL8A1	ITGA1
COL8A1	ITGA2
COL9A1	MAG
COL9A2	MAG
COL9A3	MAG
COLQ	MUSK
CORT	GHSR
CORT	MRGPRX2
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CPAMD8	SCTR
CP	SLC40A1
CRH	CRHR2
CRH	MC2R
CRP	OLR1
CSF2	CSF1R
CSF2	CSF3R
CSF2	IL3RA
CSF2	SDC2
CSF3	CSF1R
CSH1	PRLR
CSH2	PRLR
CTGF	ERBB4
CTGF	ITGA5
CTGF	ITGAM
CTGF	ITGB2
CTGF	LRP1
CTGF	LRP6
CTGF	NTRK1
CTHRC1	FZD3
CTHRC1	FZD5
CTHRC1	FZD6
CUBN	LRP2
CXCL10	CCR3
CXCL10	SDC4
CXCL11	CCR3
CXCL12	CD4
CXCL12	CXCR3
CXCL12	ITGB1
CXCL13	ACKR4
CXCL13	CCR10
CXCL13	CXCR3
CXCL1	CXCR1
CXCL1	DARC
CXCL2	CXCR1
CXCL2	XCR1
CXCL3	CXCR1
CXCL5	CXCR1
CXCL5	DARC
CXCL9	CCR3
CYR61	ITGA5
CYR61	ITGAM
CYR61	ITGB2
CYR61	ITGB3
DCN	ERBB4
DCN	MET
DEFB103A	CCR6
DEFB103B	CCR2
DEFB103B	CCR6
DEFB1	CCR6
DEFB4A	CCR6
DEFB4A	TLR4
DEFB4B	CCR6
DHH	BOC
DHH	CDON
DHH	HHIP
DKK1	KREMEN2
DKK1	LRP5
DKK2	KREMEN2
DLK2	NOTCH1
DLL4	NOTCH2
EBI3	IL27RA
EDN1	KEL
EDN2	EDNRA
EDN2	EDNRB
EDN2	KEL
EDN3	KEL
EFEMP1	EGFR
EFEMP2	AQP1
EFEMP2	CATSPER1
EFEMP2	LINGO1
EFEMP2	PLSCR4
EFNA1	EPHA6
EFNA1	EPHB1
EFNA2	EPHA6
EFNA3	EPHA6
EFNA3	EPHB1
EFNA4	EPHA6
EFNA5	EPHA6
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHB6
EFNB1	ERBB2
EFNB2	EPHA3
EFNB2	EPHA6
EFNB2	GRM1
EFNB2	GRM5
EFNB2	PECAM1
EFNB2	RHBDL2
EFNB3	RHBDL2
EGF	ERBB3
EGF	ERBB4
EPGN	EGFR
F10	F3
F11	GP1BA
F12	CD93
F12	GP1BA
F13A1	ITGA4
F13A1	ITGA9
F13A1	ITGB1
F2	GP1BA
F2	GP9
F2	ITGA2B
F2	THBD
F7	F3
F8	ASGR2
F8	LDLR
F8	LRP1
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGA5
FBN1	ITGAV
FBN1	ITGB1
FBN1	ITGB3
FCN2	LRP1
FGA	CDH5
FGA	ITGA5
FGA	ITGAM
FGA	ITGAV
FGA	ITGAX
FGA	ITGB1
FGA	ITGB2
FGA	ITGB3
FGB	ITGA2B
FGB	ITGA5
FGB	ITGAM
FGB	ITGAV
FGB	ITGB1
FGB	ITGB2
FGF13	SCN5A
FGF13	SCN8A
FGF19	KLB
FGF1	NRP1
FGF20	FGFR4
FGF21	FGFR4
FGF22	FGFR2
FGF23	FGFR1
FGF23	FGFR2
FGF23	FGFR3
FGF23	FGFR4
FGF23	PHEX
FGF2	CD44
FGF2	FGFRL1
FGF2	GPC4
FGF2	NRP1
FGF2	SDC1
FGF2	SDC2
FGF2	SDC3
FGF2	SDC4
FGF3	FGFR3
FGF3	FGFR4
FGF4	NRP1
FGF5	FGFR4
FGF6	FGFR3
FGF7	FGFR1
FGF7	FGFR3
FGF7	FGFR4
FGF7	NRP1
FGF8	FGFR1
FGG	ITGA2B
FGG	ITGA5
FGG	ITGAV
FGG	ITGB1
FGG	ITGB2
FGL1	EGFR
FIGF	ITGA9
FIGF	NRP2
FN1	COL13A1
FN1	ITGA2
FN1	ITGA9
FN1	MAG
FN1	NT5E
FN1	PLAUR
FN1	SDC2
FN1	TMPRSS6
FN1	TNFRSF11B
FN1	TSHR
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF2	ACVR1
GDF2	ACVRL1
GDF2	ENG
GDF5	ACVR1
GDF5	ACVR2B
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR1B
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	BMPR1B
GDF9	FXYD6
GDF9	ORAI2
GDF9	TGFBR1
GDNF	RET
GH1	PRLR
GHRH	VIPR1
GHRL	GHRHR
GHRL	GHSR
GHRL	GPR39
GHRL	MLNR
GIP	DPP4
GNAI2	ADCY1
GNAI2	ADORA1
GNAI2	ADRA2A
GNAI2	ADRA2B
GNAI2	AGTR2
GNAI2	C5AR1
GNAI2	CAV1
GNAI2	CCR5
GNAI2	CHRM1
GNAI2	CNR1
GNAI2	CXCR1
GNAI2	CXCR2
GNAI2	DRD2
GNAI2	EDNRA
GNAI2	EGFR
GNAI2	F2R
GNAI2	FPR1
GNAI2	IGF1R
GNAI2	LHCGR
GNAI2	LPAR3
GNAI2	MTNR1A
GNAI2	MTNR1B
GNAI2	OPRD1
GNAI2	OPRM1
GNAI2	P2RY12
GNAI2	PTPRU
GNAI2	TBXA2R
GNAI2	TSHR
GNAS	ADORA1
GNAS	ADRB3
GNAS	AVPR2
GNAS	CRHR1
GNAS	GCGR
GNAS	HTR6
GNAS	LHCGR
GNAS	PTGDR
GNAS	PTGIR
GNAS	TSHR
GNAS	VIPR1
GNB3	TGFBR1
GNRH1	GNRHR
GNRH2	GNRHR
GPC3	CD81
GPC3	IGF1R
GPHA2	TSHR
GPI	AMFR
GRP	BRS3
GRP	NMBR
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GZMB	CHRM3
GZMB	IGF2R
HAS2	CD44
HAS2	HMMR
HBEGF	CD44
HBEGF	CD82
HBEGF	CD9
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HEBP1	FPR3
HGF	CD44
HGF	SDC1
HGF	SDC2
HGF	ST14
HLA-A	APLP2
HLA-A	ERBB2
HLA-A	KIR3DL1
HLA-A	KIR3DL2
HLA-A	LILRB1
HLA-A	LILRB2
HLA-B	CANX
HLA-B	KIR3DL1
HLA-B	KLRD1
HLA-B	LILRB1
HLA-B	LILRB2
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-C	LILRA3
HLA-C	LILRB1
HLA-C	LILRB2
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HLA-G	LILRB2
HMGB1	SDC1
HMGB1	THBD
HP	ITGAM
HP	ITGB2
HRAS	AGTR1
HRAS	CAV1
HRAS	GRIN2D
HRAS	INSR
HRAS	TLR2
HRAS	TLR9
HRG	FCGR1A
HSP90AA1	CFTR
HSP90AA1	EGFR
HSP90AA1	FGFR3
HSPG2	COL13A1
HSPG2	ITGA2
HSPG2	ITGB1
HSPG2	PTPRS
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP2
ICAM1	EGFR
ICAM1	IL2RA
ICAM1	IL2RG
ICAM1	ITGAL
ICAM1	ITGAM
ICAM1	ITGAX
ICAM1	ITGB2
ICAM2	ITGAL
ICAM2	ITGAM
ICAM2	ITGB2
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM3	ITGAL
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGA4
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB1
ICAM4	ITGB2
ICAM4	ITGB3
ICAM4	RHAG
ICAM5	ITGAL
ICAM5	ITGB2
IGF2	IGF1R
IGF2	INSR
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IHH	BOC
IHH	CDON
IHH	HHIP
IL12A	CD28
IL12B	IL23R
IL15	IL2RA
IL16	GRIN2C
IL16	GRIN2D
IL16	KCNA3
IL16	KCND1
IL16	KCND2
IL16	KCNJ10
IL16	KCNJ15
IL16	KCNJ4
IL17A	IL17RC
IL18	IL1RAPL1
IL18	IL1RL2
IL19	IL20RB
IL1B	ADRB2
IL1F10	IL1R1
IL20	IL20RB
IL22	IL10RA
IL24	IL20RB
IL27	IL27RA
IL2	CD53
IL2	NGFR
IL31	IL31RA
IL31	OSMR
IL34	CSF1R
IL4	CD53
IL4	IL13RA2
IL8	DARC
IL8	SDC1
IL8	SDC2
INHA	ACVR2A
INHA	TGFBR3
INHBA	BAMBI
INHBA	ENG
INHBA	TGFBR3
INHBB	ACVR1C
INSL5	RXFP3
INSL5	RXFP4
INS	IGF1R
INS	LRP2
ITGB3BP	ITGB3
ITGB3BP	ITGB5
ITIH2	FCER1A
KAL1	FGFR1
KAL1	SDC2
KISS1	MMP24
KITLG	EPOR
KLK3	EPOR
KNG1	BDKRB1
KNG1	BDKRB2
KNG1	GP1BA
KNG1	GPR135
KNG1	PLAUR
KRTAP4-12	AQP1
KRTAP4-12	CATSPER1
KRTAP4-12	CLDN2
KRTAP4-12	CNTFR
KRTAP4-12	LINGO1
KRTAP4-12	PDGFRB
KRTAP4-12	PLSCR4
L1CAM	CNTN1
L1CAM	EGFR
L1CAM	ERBB2
L1CAM	ERBB3
L1CAM	ITGA5
L1CAM	ITGAV
LACRT	SDC1
LAMA1	NT5E
LAMA1	RPSA
LAMA1	TMPRSS6
LAMA2	RPSA
LAMA3	SDC2
LAMA5	BCAM
LAMB2	RPSA
LCN1	LMBR1L
LCN2	LRP2
LEFTY2	ACVR2B
LGALS3BP	ITGB1
LIN7C	ABCA1
LIN7C	HTR2C
LIPC	LRP1
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LPA	LRP2
LPL	GPIHBP1
LPL	LRP1
LPL	LRP2
LPL	SDC1
LPL	VLDLR
LRP1B	PLAUR
LRPAP1	LDLR
LRPAP1	LRP1
LRPAP1	LRP2
LRPAP1	LRP8
LRPAP1	SORL1
LRPAP1	SORT1
LRPAP1	VLDLR
LTBP1	ITGB5
LTBP3	ITGB5
LTB	CD40
LTB	TNFRSF1A
LTF	LRP1
LTF	LRP11
LY86	CD180
MADCAM1	CD44
MADCAM1	ITGA4
MADCAM1	ITGB7
MATN1	ITGA1
MATN1	ITGB1
MBL2	CALCR
MBL2	CD93
MDK	ALK
MDK	LRP1
MDK	LRP2
MDK	SDC1
MDK	SDC3
MDK	SDC4
MDK	TSPAN1
MEPE	PHEX
MFGE8	ITGAV
MFGE8	ITGB3
MFGE8	PDGFRB
MFNG	NOTCH1
MFNG	NOTCH2
MIA	CDH7
MLLT4	EPHA7
MLLT4	EPHB2
MLLT4	EPHB3
MLLT4	EPHB6
MLLT4	F11R
MLLT4	NRXN2
MLLT4	NRXN3
MLLT4	PVRL1
MLLT4	PVRL2
MLLT4	PVRL3
MLLT4	PVRL4
MLN	MLNR
MMP12	PLAUR
MMP13	LRP1
MMP1	CD44
MMP1	ITGA2
MMP2	SDC2
MMP7	CD151
MMP7	CD44
MMP7	ERBB4
MMP9	CD44
MMP9	EPHB2
MMP9	LRP1
MUC2	AGR2
MYOC	FZD1
MYOC	FZD10
MYOC	FZD3
MYOC	FZD4
MYOC	FZD7
NAMPT	INSR
NCAM1	FGFR1
NCAM1	GFRA1
NCAM1	ROBO1
NCAM1	ROBO3
NDP	FZD4
NDP	LGR4
NID1	COL13A1
NID1	ITGAV
NID1	ITGB3
NID1	PTPRF
NID2	COL13A1
NLGN1	NRXN1
NLGN1	NRXN2
NLGN1	NRXN3
NLGN2	NRXN1
NLGN2	NRXN2
NLGN2	NRXN3
NLGN3	NRXN1
NLGN3	NRXN2
NLGN3	NRXN3
NMB	BRS3
NMB	GRPR
NMS	NMUR1
NMS	NMUR2
NODAL	ACVR1B
NODAL	ACVR1C
NODAL	ACVR2A
NODAL	ACVR2B
NPB	NPBWR1
NPB	NPBWR2
NPFF	NPFFR1
NPFF	NPFFR2
NPNT	ITGB1
NPS	NPSR1
NPVF	NPFFR1
NPVF	NPFFR2
NPW	NPBWR1
NPW	NPBWR2
NPY	FAP
NPY	MC4R
NPY	NPFFR2
NPY	NPY4R
NPY	PRLHR
NTF4	NGFRAP1
NTF4	NTRK1
NTN1	ADORA2B
NTN1	UNC5D
NTN3	CDON
NTN3	NEO1
NTN4	DCC
NTN4	UNC5A
NTNG1	LRRC4C
NTNG2	LRRC4
NTS	NTSR2
NTS	SORT1
NXPH1	NRXN1
NXPH1	NRXN2
NXPH1	NRXN3
NXPH2	NRXN1
NXPH3	NRXN1
NXPH3	NRXN2
NXPH3	NRXN3
OBP2A	OR1G1
OLFM2	ROBO2
OMG	LINGO1
OMG	RTN4R
OMG	RTN4RL1
OMG	TNFRSF1B
ORM1	CCR5
OSTN	NPR3
OXT	AVPR1A
OXT	AVPR1B
OXT	AVPR2
PCSK9	VLDLR
PDAP1	PDGFRB
PDGFB	ART1
PDGFB	LRP1
PDGFC	FLT4
PDGFC	KDR
PDYN	OPRD1
PDYN	OPRK1
PDYN	OPRM1
PENK	MRGPRX1
PENK	OGFR
PENK	OPRD1
PENK	OPRM1
PF4	FGFR2
PF4	PROCR
PF4	SDC2
PF4	THBD
PGF	NRP2
PIGF	FLT1
PLA2G10	PLA2R1
PLAT	LRP1
PLAU	IGF2R
PLAU	LRP1
PLAU	LRP2
PLAU	PLAUR
PLAU	ST14
PLG	F3
PLG	ITGA9
PLG	ITGB1
PLG	PLGRKT
PLTP	ABCA1
PMCH	MCHR1
PMCH	MCHR2
PODXL2	SELL
PODXL	SELL
POMC	MC1R
POMC	MC5R
POMC	OPRD1
POMC	OPRK1
POMC	OPRM1
PON2	HTR2A
PPBP	CXCR1
PPY	NPY4R
PPY	NPY5R
PRND	RPSA
PROC	PROCR
PROC	THBD
PROK1	PROKR1
PROK1	PROKR2
PROK2	PROKR1
PROK2	PROKR2
PROS1	AXL
PROS1	TYRO3
PRSS23	TMEM222
PSAP	CD1B
PSAP	CELSR1
PSAP	GPR37
PSAP	GPR37L1
PSAP	LRP1
PSEN1	NCSTN
PSEN1	NOTCH1
PSEN1	NOTCH2
PSEN1	NOTCH3
PSEN1	NOTCH4
PSPN	GFRA1
PSPN	GFRA4
PSPN	RET
PTDSS1	JMJD6
PTDSS1	SCARB1
PTGS2	CAV1
PTGS2	PTGDR2
PTH2	PTH1R
PTH2	PTH2R
PTHLH	PRLHR
PTHLH	PTH2R
PTMA	VIPR1
PTN	ALK
PTN	CDH10
PTN	PLXNB2
PTN	PTPRS
PTN	SDC1
PTN	SDC3
PYY	FAP
PYY	NPY1R
PYY	NPY2R
PYY	NPY4R
PYY	NPY5R
QRFP	P2RY14
RAET1E	KLRK1
RARRES2	CCRL2
RARRES2	CMKLR1
RARRES2	GPR1
RBP3	NOTCH1
RBP4	STRA6
RELN	LRP8
RELN	VLDLR
REN	ATP6AP2
RGMA	NEO1
RGMB	NEO1
RIMS1	CACNA1C
RIMS2	ABCA1
RLN1	RXFP2
RLN2	RXFP1
RLN2	RXFP2
RLN3	RXFP1
RLN3	RXFP2
RLN3	RXFP3
RLN3	RXFP4
RNASE2	TLR2
RPH3A	NRXN1
RPS19	C5AR1
RSPO1	LGR4
RSPO1	LGR5
RSPO1	LGR6
RSPO1	LRP6
RSPO1	ZNRF3
RSPO2	LGR4
RSPO2	LGR5
RSPO2	LGR6
RSPO3	FZD8
RSPO3	LGR4
RSPO3	LGR5
RSPO3	LGR6
RSPO3	LRP6
RSPO3	SDC4
RSPO4	LGR4
RSPO4	LGR5
RSPO4	LGR6
RTN4	CNTNAP1
RTN4	LINGO1
RTN4	RTN4R
RTN4	TNFRSF19
S100A8	TLR4
S100A9	TLR4
SAA1	FPR1
SAA1	FPR2
SCGB1A1	LMBR1L
SCGB1A1	LRP2
SCGB3A1	MARCO
SCT	VIPR1
SCT	VIPR2
SELPLG	SELE
SELPLG	SELL
SELPLG	SELP
SEMA3A	NRP2
SEMA3A	PLXNA2
SEMA3A	PLXNA4
SEMA3B	NRP1
SEMA3B	NRP2
SEMA3C	NRP2
SEMA3C	PLXND1
SEMA3D	NRP1
SEMA3E	PLXND1
SEMA3F	NRP1
SEMA3F	NRP2
SEMA3F	PLXNA3
SEMA3G	NRP2
SEMA4A	PLXND1
SEMA4B	DCBLD2
SEMA4C	PLXNB2
SEMA4D	CD72
SEMA4D	ERBB2
SEMA4D	MET
SEMA4D	PLXNB1
SEMA4D	PLXNB2
SEMA4F	NRP2
SEMA4G	PLXNB2
SEMA5A	MET
SEMA5A	PLXNB3
SEMA6A	PLXNA2
SEMA6A	PLXNA4
SEMA6D	KDR
SEMA6D	PLXNA1
SEMA6D	TREM2
SEMA6D	TYROBP
SEMA7A	ITGA1
SEMA7A	ITGB1
SEMA7A	PLXNC1
SERPINA1	LRP1
SERPINA7	SLC16A2
SERPINC1	LRP1
SERPINC1	SDC2
SERPINE1	LRP1
SERPINE1	LRP2
SERPINE2	LRP1
SERPING1	LRP1
SERPING1	SELE
SERPING1	SELP
SFRP1	FZD2
SFRP1	FZD6
SFTPA1	TLR2
SFTPA2	CD93
SHANK1	ABCA1
SHANK1	BAI2
SHANK1	LPHN1
SHANK1	LPHN2
SHANK1	SSTR2
SHBG	CD177
SHBG	CLDN4
SHBG	SLC37A1
SHH	BOC
SHH	CDON
SHH	GPC5
SHH	HHIP
SHH	LRP2
SHH	PTCH1
SHH	PTCH2
SHH	SMO
SLIT1	GPC1
SLIT1	ROBO1
SLIT1	SDC1
SLIT2	GPC1
SLIT2	SDC1
SLIT3	ROBO2
SORBS1	INSR
SOST	LRP5
SOST	LRP6
