From	To
IL6	IL6ST
IL7	IL2RG
IL7	IL7R
IL8	CXCR1
IL8	CXCR2
IL9	IL2RG
IL9	IL9R
IL10	IL10RA
IL10	IL10RB
IL11	IL6ST
IL11	IL11RA
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL13	IL4R
IL13	IL13RA1
IL15	IL2RB
IL15	IL2RG
IL15	IL15RA
IL17A	IL17RA
IL18	IL18RAP
IL18	IL18R1
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR2A
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
CXCL10	CXCR3
CCL4L2	CCR5
LEP	LEPR
LIF	IL6ST
LIF	LIFR
LTA	LTBR
LTA	TNFRSF1A
LTA	TNFRSF1B
LTA	TNFRSF14
LTB	LTBR
CCL3L3	CCR5
KITLG	KIT
CXCL9	CXCR3
OSM	IL6ST
OSM	LIFR
OSM	OSMR
IL20	IL20RA
IL20	IL22RA1
IL22	IL22RA2
IL22	IL10RB
IL22	IL22RA1
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	PDGFRA
PDGFB	PDGFRB
IL23A	IL23R
IL23A	IL12RB1
PPBP	CXCR2
PDGFC	PDGFRA
PRL	PRLR
CCL28	CCR3
CCL28	CCR10
IFNK	IFNAR1
IFNK	IFNAR2
CXCL16	CXCR6
IL21	IL2RG
IL21	IL21R
CCL1	CCR8
CCL2	CCR2
CCL3	CCR5
CCL3L1	CCR5
CCL4	CCR5
CCL5	CCR1
CCL5	CCR3
CCL5	CCR5
CCL7	CCR1
CCL7	CCR2
CCL8	CCR3
CCL11	CCR3
CCL13	CCR3
CCL13	CCR2
CCL14	CCR1
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL17	CCR4
CCL19	CCR7
CCL20	CCR6
CCL21	CCR7
CCL22	CCR4
CCL23	CCR1
CCL24	CCR3
CCL25	CCR9
CXCL6	CXCR1
CXCL6	CXCR2
CXCL11	CXCR3
CXCL11	ACKR3
CXCL5	CXCR2
XCL1	XCR1
CX3CL1	CX3CR1
CXCL12	ACKR3
CXCL12	CXCR4
IL25	IL17RB
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ACVR1
BMP7	BMPR1B
BMP7	ACVR2A
XCL2	XCR1
TGFB1	TGFBR1
TGFB1	TGFBR2
TGFB2	TGFBR1
TGFB2	TGFBR2
TGFB3	TGFBR1
TGFB3	TGFBR2
TNF	TNFRSF1A
TNF	TNFRSF1B
TPO	MPL
TNFSF4	TNFRSF4
VEGFA	FLT1
VEGFA	KDR
VEGFB	FLT1
VEGFC	FLT4
VEGFC	KDR
PLEKHO2	PDGFRB
GDF5	BMPR1A
GDF5	ACVR2A
INHBE	ACVR1
INHBE	ACVR1B
INHBE	ACVR2A
INHBE	ACVR2B
TSLP	IL7R
TSLP	CRLF2
TNFSF11	TNFRSF11B
TNFSF11	TNFRSF11A
TNFSF14	LTBR
TNFSF14	TNFRSF14
TNFSF14	TNFRSF6B
TNFSF13	TNFRSF13B
TNFSF13	TNFRSF17
TNFSF12	TNFRSF12A
TNFSF10	TNFRSF11B
TNFSF10	TNFRSF10D
TNFSF10	TNFRSF10C
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10A
TNFSF9	TNFRSF9
TNFSF18	TNFRSF18
TNFSF8	TNFRSF8
CCL4L1	CCR5
CD40LG	CD40
CD70	CD27
LAMC3	DAG1
LAMC3	SV2C
LAMC3	ITGA6
LAMC3	ITGA1
LAMC3	ITGA2
LAMC3	ITGA3
LAMC3	ITGA7
LAMC3	ITGA9
LAMC3	ITGAV
LAMC3	ITGB1
LAMC3	ITGB4
LAMC3	ITGB8
LAMC3	CD44
LAMC3	SV2B
LAMC3	SV2A
CHAD	ITGA2
CHAD	ITGB1
COL1A1	ITGA11
COL1A1	ITGA1
COL1A1	ITGA2
COL1A1	ITGA3
COL1A1	ITGA9
COL1A1	ITGAV
COL1A1	ITGB1
COL1A1	ITGB8
COL1A1	GP6
COL1A1	SDC1
COL1A1	SDC4
COL1A1	ITGA10
COL1A1	CD44
COL1A2	ITGA11
COL1A2	ITGA1
COL1A2	ITGA2
COL1A2	ITGA3
COL1A2	ITGA9
COL1A2	ITGAV
COL1A2	ITGB1
COL1A2	ITGB8
COL1A2	GP6
COL1A2	SDC1
COL1A2	SDC4
COL1A2	ITGA10
COL1A2	CD44
COL2A1	ITGA11
COL2A1	ITGA1
COL2A1	ITGA2
COL2A1	ITGA3
COL2A1	ITGA9
COL2A1	ITGAV
COL2A1	ITGB1
COL2A1	ITGB8
COL2A1	GP6
COL2A1	SDC1
COL2A1	SDC4
COL2A1	ITGA10
COL2A1	CD44
COL3A1	ITGA11
COL3A1	ITGA1
COL3A1	ITGA2
COL3A1	ITGA3
COL3A1	ITGA9
COL3A1	ITGAV
COL3A1	ITGB1
COL3A1	ITGB8
COL3A1	GP6
COL3A1	SDC1
COL3A1	SDC4
COL3A1	ITGA10
COL3A1	CD44
COL4A1	ITGA11
COL4A1	ITGA1
COL4A1	ITGA2
COL4A1	ITGA3
COL4A1	ITGA9
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB8
COL4A1	GP6
COL4A1	SDC1
COL4A1	SDC4
COL4A1	ITGA10
COL4A1	CD44
COL4A2	ITGA11
COL4A2	ITGA1
COL4A2	ITGA2
COL4A2	ITGA3
COL4A2	ITGA9
COL4A2	ITGAV
COL4A2	ITGB1
COL4A2	ITGB8
COL4A2	GP6
COL4A2	SDC1
COL4A2	SDC4
COL4A2	ITGA10
COL4A2	CD44
COL4A3	ITGA11
COL4A3	ITGA1
COL4A3	ITGA2
COL4A3	ITGA3
COL4A3	ITGA9
COL4A3	ITGAV
COL4A3	ITGB1
COL4A3	ITGB8
COL4A3	GP6
COL4A3	SDC1
COL4A3	SDC4
COL4A3	ITGA10
COL4A3	CD44
COL4A4	ITGA11
COL4A4	ITGA1
COL4A4	ITGA2
COL4A4	ITGA3
COL4A4	ITGA9
COL4A4	ITGAV
COL4A4	ITGB1
COL4A4	ITGB8
COL4A4	GP6
COL4A4	SDC1
COL4A4	SDC4
COL4A4	ITGA10
COL4A4	CD44
COL4A5	ITGA11
COL4A5	ITGA1
COL4A5	ITGA2
COL4A5	ITGA3
COL4A5	ITGA9
COL4A5	ITGAV
COL4A5	ITGB1
COL4A5	ITGB8
COL4A5	GP6
COL4A5	SDC1
COL4A5	SDC4
COL4A5	ITGA10
COL4A5	CD44
COL4A6	ITGA11
COL4A6	ITGA1
COL4A6	ITGA2
COL4A6	ITGA3
COL4A6	ITGA9
COL4A6	ITGAV
COL4A6	ITGB1
COL4A6	ITGB8
COL4A6	GP6
COL4A6	SDC1
COL4A6	SDC4
COL4A6	ITGA10
COL4A6	CD44
COL5A1	ITGA11
COL5A1	ITGA1
COL5A1	ITGA2
COL5A1	ITGA3
COL5A1	ITGA9
COL5A1	ITGAV
COL5A1	ITGB1
COL5A1	ITGB8
COL5A1	GP6
COL5A1	SDC1
COL5A1	SDC4
COL5A1	ITGA10
COL5A1	CD44
COL5A2	ITGA11
COL5A2	ITGA1
COL5A2	ITGA2
COL5A2	ITGA3
COL5A2	ITGA9
COL5A2	ITGAV
COL5A2	ITGB1
