p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
0.214315887498712	-1.13148944657972	0.002	0.007	1	IGFBP3	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	ZBED6CL	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	RHOBTB2	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	TJP2	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	DFNB31	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	TIMELESS	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	RP11-817O13.8	control	-1.13148944657972
0.214315887498712	-1.13148944657972	0.002	0.007	1	ZNF28	control	-1.13148944657972
0.214320861758786	-2.65749376456481	0.023	0.034	1	RP11-727F15.9	control	-2.65749376456481
0.214826952987381	-17.0340014025062	0.042	0.056	1	SMC4	control	-17.0340014025062
0.215238885454112	-0.78035907814919	0.056	0.072	1	NTMT1	control	-0.78035907814919
0.215683350548296	-7.77858903569209	0.071	0.088	1	B3GAT3	control	-7.77858903569209
0.215804848035306	-5.38007499196498	0.006	0.013	1	RP11-428G5.5	control	-5.38007499196498
0.215804848035306	-1.99541338124584	0.006	0.013	1	ACSM3	control	-1.99541338124584
0.215811343506024	-4.16553078395472	0.035	0.049	1	OTUD5	control	-4.16553078395472
0.215823598708956	-0.535434188844887	0.029	0.041	1	LIAS	control	-0.535434188844887
0.216001526358348	-1.07890482581111	0.006	0.013	1	C2ORF74	control	-1.07890482581111
0.216125043613104	0.925303116671141	0.013	0.007	1	AC009065.1	control	0.925303116671141
0.216198269831551	-0.958758158959089	0.006	0.013	1	MEX3C	control	-0.958758158959089
0.216268554447232	0.477901001807422	0.031	0.022	1	WDR48	control	0.477901001807422
0.216405766247992	-0.827689280842877	0.006	0.013	1	AC079922.3	control	-0.827689280842877
0.216405766247992	-0.827689280842877	0.006	0.013	1	NSUN3	control	-0.827689280842877
0.216405766247992	-0.827689280842877	0.006	0.013	1	TULP4	control	-0.827689280842877
0.216405766247992	-0.827689280842877	0.006	0.013	1	PFKM	control	-0.827689280842877
0.216405766247992	-0.827689280842877	0.006	0.013	1	CSRP2BP	control	-0.827689280842877
0.216405766247992	-0.827689280842877	0.006	0.013	1	ZNF529	control	-0.827689280842877
0.216519106825868	-1.05284905312976	0.008	0.016	1	LGMN	control	-1.05284905312976
0.216600687149586	0.69331734966858	0.013	0.007	1	ZNF589	control	0.69331734966858
0.216600687149586	-57.8105056410951	0.013	0.007	1	SAMD1	control	-57.8105056410951
0.216756805484538	-0.95803796383758	0.008	0.016	1	METTL25	control	-0.95803796383758
0.216756805484538	-0.95803796383758	0.008	0.016	1	GFOD2	control	-0.95803796383758
0.216994629507591	-0.85655504660658	0.008	0.016	1	GDAP2	control	-0.85655504660658
0.216994629507591	-0.856555046606579	0.008	0.016	1	FOXK1	control	-0.856555046606579
0.217013859251727	0.711118538195322	0.025	0.017	1	BRF1	control	0.711118538195322
0.217181782797664	-1.19390335507835	0.071	0.089	1	GGPS1	control	-1.19390335507835
0.217248700779424	-0.747389752322938	0.008	0.016	1	HHLA3	control	-0.747389752322938
0.217248700779424	-0.747389752322938	0.008	0.016	1	ATP8A1	control	-0.747389752322938
0.217248700779424	-0.747389752322938	0.008	0.016	1	KLC2	control	-0.747389752322938
0.217248700779424	-0.747389752322938	0.008	0.016	1	DENND4A	control	-0.747389752322938
0.217375763214549	-0.414395339135629	0.042	0.056	1	SLC35A4	control	-0.414395339135629
0.21741500722316	-0.601721142652385	0.023	0.034	1	NFRKB	control	-0.601721142652385
0.217560075822489	26.6811650263778	0.523	0.57	1	PNRC1	control	26.6811650263778
0.21767530187068	0.62881411706563	0.025	0.017	1	ACAD9	control	0.62881411706563
0.217859386540637	-0.551217891145293	0.023	0.034	1	VEZT	control	-0.551217891145293
0.218292543578793	0.525408347043292	0.025	0.017	1	SGSH	control	0.525408347043292
0.218325900737028	-14.5307914850485	0.094	0.113	1	UBALD2	control	-14.5307914850485
0.218478795262643	-26.1865335370736	0.202	0.177	1	ADAR	control	-26.1865335370736
0.218657367982554	-38.2169859707573	0.783	0.782	1	SRP14	control	-38.2169859707573
0.218740881048483	-37.1290653135587	0.04	0.053	1	PI4KB	control	-37.1290653135587
0.21893692328619	0.428921103602494	0.025	0.017	1	PLXNC1	control	0.428921103602494
0.219580563006456	-43.6851749942258	0.235	0.267	1	TAPBP	control	-43.6851749942258
0.21980258512913	88.2937712439041	0.033	0.046	1	C17ORF59	control	88.2937712439041
0.220192877199682	-59.624931084136	0.183	0.159	1	TRAPPC3	control	-59.624931084136
0.220286280465677	0.404597275248398	0.044	0.032	1	CALCOCO1	control	0.404597275248398
0.220475245870628	-0.977634576490016	0.015	0.024	1	RNASEH1-AS1	control	-0.977634576490016
0.220507964901404	-20.2112275212957	0.09	0.108	1	APOA1BP	control	-20.2112275212957
0.220794847767462	-0.454247516993961	0.048	0.063	1	WDR77	control	-0.454247516993961
0.220854231080109	-15.611548174203	0.106	0.127	1	NCBP2-AS2	control	-15.611548174203
0.221160128299972	-0.671724583729215	0.015	0.024	1	SUPV3L1	control	-0.671724583729215
0.221160128299972	-0.671724583729215	0.015	0.024	1	AARS	control	-0.671724583729215
